rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
29,2018-10-15,Segunda-feira,20:00,Ceara,Botafogo-RJ,4-2-3-1,4-1-4-1,L. Cirne Lima de Lorenzi,J. Mannarino,Empate,Empate,Arena Castelão,0,0,CE,RJ,2018
30,2018-10-20,Sábado,15:59,America-MG,Gremio,4-2-3-1,4-2-3-1,A. Batista,Renato Gaúcho,Empate,Empate,Estádio Raimundo Sampaio,1,1,MG,RS,2018
30,2018-10-20,Sábado,16:01,Botafogo-RJ,Bahia,4-1-4-1,4-2-3-1,J. Mannarino,E. Alves Moreira,Bahia,Botafogo-RJ,Estádio Nilton Santos,0,1,RJ,BA,2018
30,2018-10-20,Sábado,18:59,Sao Paulo,Athletico-PR,4-4-2,4-2-3-1,D. Aguirre Camblor,T. Retzalff Nunes,Empate,Empate, Morumbi,0,0,SP,PR,2018
30,2018-10-20,Sábado,19:00,Sport,Vasco,4-2-3-1,4-3-2-1,M. Mendes,A. Valentim do Carmo Neto,Sport,Vasco,Adelmar da Costa Carvalho,2,1,PE,RJ,2018
30,2018-10-21,Domingo,16:00,Vitoria,Corinthians,4-1-4-1,4-2-3-1,P. Carpegiani,J. Ribeiro Ventura,Empate,Empate, Barradão,2,2,BA,SP,2018
30,2018-10-21,Domingo,16:01,Fluminense,Atletico-MG,3-4-2-1,4-2-3-1,M. de Oliveira Santos,L. Culpi,Fluminense,Atletico-MG,Estádio Nilton Santos,1,0,RJ,MG,2018
30,2018-10-21,Domingo,16:01,Palmeiras,Ceara,4-2-3-1,4-2-3-1,L. Scolari,L. Cirne Lima de Lorenzi,Palmeiras,Ceara,Estádio Municipal Paulo Machado de Carvalho,2,1,SP,CE,2018
30,2018-10-21,Domingo,18:59,Cruzeiro,Chapecoense,4-2-3-1,4-1-4-1,L. Venker de Menezes,C. dos Santos Oliveira,Cruzeiro,Chapecoense,Estádio Raimundo Sampaio,3,0,MG,SC,2018
30,2018-10-21,Domingo,19:00,Parana,Flamengo,5-4-1,4-2-3-1,L. Cavalcanti,D. Silvestre Júnior,Flamengo,Parana,Vila Capanema,0,4,PR,RJ,2018
30,2018-10-22,Segunda-feira,20:03,Internacional,Santos,4-2-3-1,4-2-3-1,O. Hellmann,A. Stival,Empate,Empate,Estádio José Pinheiro Borda,2,2,RS,SP,2018
28,2018-10-24,Quarta-feira,19:31,Cruzeiro,Ceara,4-2-3-1,4-2-3-1,L. Venker de Menezes,L. Cirne Lima de Lorenzi,Ceara,Cruzeiro, Mineirão,0,2,MG,CE,2018
31,2018-10-26,Sexta-feira,19:31,Vitoria,Sao Paulo,4-1-4-1,4-4-2,P. Carpegiani,D. Aguirre Camblor,Sao Paulo,Vitoria, Barradão,0,1,BA,SP,2018
31,2018-10-26,Sexta-feira,21:30,Vasco,Internacional,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,O. Hellmann,Empate,Empate,Estádio Vasco da Gama,1,1,RJ,RS,2018
31,2018-10-27,Sábado,16:29,Santos,Fluminense,4-3-3,4-3-1-2,A. Stival,M. de Oliveira Santos,Santos,Fluminense,Estádio Urbano Caldeira,3,0,SP,RJ,2018
31,2018-10-27,Sábado,16:30,Gremio,Sport,4-2-3-1,4-2-3-1,Renato Gaúcho,M. Mendes,Sport,Gremio,Arena do Grêmio,3,4,RS,PE,2018
31,2018-10-27,Sábado,19:00,Chapecoense,America-MG,4-1-4-1,4-2-3-1,C. dos Santos Oliveira,A. Batista,Chapecoense,America-MG,Arena Condá,1,0,SC,MG,2018
31,2018-10-27,Sábado,19:00,Flamengo,Palmeiras,4-2-3-1,4-2-3-1,D. Silvestre Júnior,L. Scolari,Empate,Empate, Maracanã,1,1,RJ,SP,2018
